,0a) Mitglied im DVE,1a) Alter,1b) Berufserfahrung,1c) Geschlecht,1d) Arbeitsort,1e) Höchster Berufsabschluss,2a) Status Hauptarbeitsverhältnis,2b) Grund für Teilzeit- oder geringfügige Beschäftigung,2c) Beschäftigung in einer Zeitarbeitsfirma/ als Leiharbeitnehmer:in,3a) Befristetes Arbeitsverhältnis,"4a) Leitungsfunktion, mit Personalverantwortung",4b) Verantwortung für,4c) Umfang der Leitungstätigkeit durch Arbeitgeber,5a) Arbeitgeber/ Einrichtungsart,5b) Fachlicher Schwerpunkt,6a) Meine vertraglich festgelegte Wochenarbeitszeit beträgt,6b) Ich arbeite auch am...,6c) Wenn Sie Sonn- und Feiertagsdienste machen – gibt es Zuschläge bei der Vergütung?,7a) Wie erfolgt der Ausgleich von Überstunden?,7b) Leisten Sie regelmäßig Überstunden?,8a) Ich habe in den letzten 12 Monaten mindestens eine externe berufsbezogene Fortbildung wahrgenommen (inkl. Onlineangeboten),8b) Freistellung,8c) Kostenübernahme durch den Arbeitgeber,8d) regelmäßige Teilnahme an externer/ extern begleiteter Supervision (vom Arbeitgeber finanziert),9a) Gehaltsform,9b) Tarif,9c) Höhe des monatlichen Gesamtbruttogehalts* (beim Hauptarbeitgeber),10. Risiko des Therapieausfalles:Risiko trägt AG,10. Risiko des Therapieausfalles:Risiko trägt AN,10a) Risiko des Therapieausfalles,11a) Die Dauer einer Therapieeinheit orientiert sich an,"11b) Wieviel Zeit Ihrer Arbeitszeit (Angaben in %) steht Ihnen für Aufgaben wie Teambesprechungen, Dokumentation, Fahrzeit zu Hausbesuchen, Telefonate, Aufräumarbeiten, Vor-/Nachbereitung der Therapie, Praktikumsanleitung, etc. in etwa zur Verfügung?",12a) Nicht als Arbeitszeit gerechnete und nicht vergütete Arbeitsleistungen am Arbeitsplatz,12b) Der Umfang dieser nicht vergüteten Leistungen beträgt etwa (in Wochenstunden),13a) Ich arbeite zusätzlich zu meinem Hauptarbeitsverhältnis,13b) Intention der Nebentätigkeit,14a) An meiner Arbeitsstelle gibt es eine Interessensvertretung,14b) Ich bin Mitglied in einer Gewerkschaft,"15a) größere strukturelle Veränderungen, wie beispielsweise Eigentümerwechsel, Konzernbildung, usw.",15b 2)Stehen die angegebenen „wesentlichen Veränderungen“ überwiegend im Zusammenhang mit der Corona-Pandemie?,15b) Wesentliche Verschlechterungen der Arbeitsbedingungen in den letzten 2 Jahren,15c 2)Stehen die angegebene „wesentlichen Verbesserungen“ überwiegend im Zusammenhang mit der Corona-Pandemie?,15c) Wesentliche Verbesserungen der Arbeitsbedingungen in den letzten 2 Jahren,18a) Welche Serviceleistungen des DVE für Angestellte sind Ihnen bekannt?,18b) Welche Serviceleistungen des DVE für Angestellte haben Sie im letzten Jahren genutzt?,Anzahl aller wahrgenommen Fortbildungstage in den letzten 12 Monaten,Anzahl der Freistellungstage,Minuten bei Einzeltherapie,Minuten bei Gruppentherapie,Wie beurteilen Sie das Betriebsklima in Ihrer Einrichtung insgesamt? Bewerten Sie auf einer Skala von 1 (nahezu unerträglich) bis 10 (könnte nicht besser sein).,Wie beurteilen Sie die Zusammenarbeit mit Vorgesetzen? Bewerten Sie auf einer Skala von 1 (äußerst schlecht) bis 10 (könnte nicht besser sein).,Wie beurteilen Sie die Zusammenarbeit mit den Kolleg:innen? Bewerten Sie auf einer Skala von 1 (äußerst schlecht) bis 10 (könnte nicht besser sein).,Wie zufrieden sind Sie insgesamt mit Ihrer aktuellen Arbeitssituation? Bewerten Sie auf einer Skala von 1 (sehr unzufrieden) bis 10 (sehr zufrieden).,Wie zufrieden sind Sie mit diesen Leistungen gewesen? Bewerten Sie auf einer Skala von 1 (sehr unzufrieden) bis 10 (sehr zufrieden).,"nicht vertraglich festgelegt (flexibel nach Bedarf), ca.: 1-40 Wochenstunden",vertraglich festgelegt (1-40) Wochenstunden
68,ja,20 - 29 Jahre,7 - 10 Jahre,weiblich,Niedersachsen,Master,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,Fachliche Leitung (Praxis),über 10 Mitarbeiter,in zur Verfügung gestellte,Praxis/Therapiezentrum,"[' Neurologie', ' Pädiatrie']",30,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,nein,nein,,,nein,Festgehalt,"nein, frei verhandelt","2500,-  –  2749,- €",ja,nein,,der Heilmittel-Richtlinie,30 %,[' Trifft für mich nicht zu'],,fachfremd,nein,nein,nein,ja,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",,,,,9,9,9,8,8,5.0,
69,ja,20 - 29 Jahre,3 - 6 Jahre,weiblich,Niedersachsen,Bachelor / Diplom,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,[' Pädiatrie'],25,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,nein,,,nein,gesamtes Gehalt gekoppelt an geleistete Therapieeinheiten,"nein, frei verhandelt","1000,-  –  1249,- €",nein,ja,,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),5 %,"[' interne Fortbildungen', ' Vor- und Nachbereit', ' Dokumentation/Berichte schreiben', ' Praktikumsanleitung', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",6.0,fachfremd,ja,nein,nein,nein,nein,"[' Arbeitsverdichtung', ' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)', ' berufsfremde Tätigkeiten', ' Bedingungen in Arbeitsvertrag']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",,,40.0,60.0,3,2,5,1,5,,
70,nein,20 - 29 Jahre,3 - 6 Jahre,weiblich,Bayern,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,(Akut-)Krankenhaus,[' Psychiatrie/Sucht/Forensik'],38,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,ja,nein,Festgehalt,TVöD,"3000,-  –  3249,- €",nein,nein,trifft für mich nicht zu,"keine Vorgaben, individuell frei gestaltbar",25 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],[' Broschüre Stellenbeschreibung'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],2.0,3.0,,,8,9,8,9,4,,
71,ja,40 - 49 Jahre,über 20 Jahre,weiblich,Brandenburg,Bachelor / Diplom,Vollzeit,,nein,nein,Abteilungs-/ Teamleitung (Institution),6 - 10 Mitarbeiter,in zur Verfügung gestellte,Schule f. Ergoth./Hochschule,"[' Arbeitstherapie', ' Prävention und GSF', ' Sonstiger']",40,[' sonntags'],Nein,Ausgleich über Freizeit,ja,ja,nein,ja,nein,Festgehalt,AVR/KODA/ZKO,"über 3500,-€",nein,nein,trifft für mich nicht zu,trifft für mich nicht zu (z.B. als Lehrende/r),trifft für mich nicht zu (z.B. als Lehrende/r),[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Mitarbeitervertretung,nein,ja,ja,"[' Arbeitsverdichtung', ' Ausweitung der Arbeitszeit']",ja,[' Sonstige:'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",4.0,,,,8,8,8,8,8,,20.0
72,nein,20 - 29 Jahre,3 - 6 Jahre,weiblich,Thüringen,Berufsfachschule,Vollzeit,,nein,ja,trifft für mich nicht zu,,,(Akut-)Krankenhaus,[' Psychiatrie/Sucht/Forensik'],40,[' samstags'],Nein,Ausgleich über Freizeit,ja,ja,nein,teilweise,ja,Festgehalt,AVR/KODA/ZKO,"3000,-  –  3249,- €",nein,nein,trifft für mich nicht zu,"keine Vorgaben, individuell frei gestaltbar",30 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Mitarbeitervertretung,nein,nein,nein,[' berufsfremde Tätigkeiten'],nein,"[' mehr Personal', ' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],12.0,,,,8,8,9,9,6,,
73,ja,30 - 39 Jahre,11 - 20 Jahre,weiblich,Sachsen,Berufsfachschule,Vollzeit,,nein,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/Therapiezentrum,"[' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie']",35,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,ja,nein,Festgehalt,angelehnt an einen Tarif,"2750,-  –  2999,- €",ja,nein,,der Heilmittel-Richtlinie,30 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",10.0,6.0,,,7,6,7,7,6,5.0,
74,ja,40 - 49 Jahre,über 20 Jahre,weiblich,Sachsen,Berufsfachschule,Vollzeit,,nein,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/Therapiezentrum,"[' Pädiatrie', ' Psychiatrie/Sucht/Forensik']",40,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,ja,ja,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",ja,nein,,der Heilmittel-Richtlinie,20 %,[' Trifft für mich nicht zu'],,als Ergotherapeut,nein,nein,nein,nein,nein,[' keine Veränderungen'],nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",4.0,2.0,,,9,10,10,9,9,7.0,
75,nein,30 - 39 Jahre,3 - 6 Jahre,weiblich,Schleswig-Holstein,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Schule f. Ergoth./Hochschule,"[' Pädiatrie', ' Sonstiger']",31,[' trifft nicht zu'],,nicht geregelt,ja,nein,,,ja,Festgehalt,Haustarifvertrag,"1750,-  –  1999,- €",nein,nein,trifft für mich nicht zu,trifft für mich nicht zu (z.B. als Lehrende/r),trifft für mich nicht zu (z.B. als Lehrende/r),[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,ja,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",,,,,6,6,9,8,7,,
76,nein,20 - 29 Jahre,3 - 6 Jahre,weiblich,Thüringen,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Reha-Klinik,[' Neurologie'],39,"[' samstags', ' feiertags']",JA,Ausgleich über Freizeit,ja,ja,ja,ja,nein,Festgehalt,angelehnt an einen Tarif,"2500,-  –  2749,- €",ja,nein,,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),10 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,ja,"[' anderes Patientenklientel', ' berufsfremde Tätigkeiten']",nein,[' trifft für mich nicht zu / keine Veränderungen'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],15.0,10.0,30.0,45.0,6,6,9,8,8,,
77,nein,30 - 39 Jahre,11 - 20 Jahre,weiblich,Baden-Württemberg,Berufsfachschule,Teilzeit,aus gesundheitlichen Gründen,nein,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/Therapiezentrum,"[' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie']",32,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,teilweise,nein,Kombigehalt (Sockelbetrag und variable Leistung),"nein, frei verhandelt","2750,-  –  2999,- €",nein,ja,,der Heilmittel-Richtlinie,5 %,"[' interne Fortbildungen', ' Fahrtzeit zum Hausbesuch', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",8.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,ja,[' Sonstige'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],4.0,5.0,,,6,3,8,5,5,,
78,nein,20 - 29 Jahre,bis 2 Jahre,weiblich,Thüringen,Berufsfachschule,Teilzeit,aus gesundheitlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Prävention und GSF']",30,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,teilweise,nein,gesamtes Gehalt gekoppelt an geleistete Therapieeinheiten,angelehnt an einen Tarif,"1500,-  –  1749,- €",nein,ja,,der Heilmittel-Richtlinie,Ich bekommen keine Zeit zur Verfügung gestellt,"[' Vor- und Nachbereit', ' Dokumentation/Berichte schreiben', ' Praktikumsanleitung', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",3.0,"trifft für mich nicht zu, keine Nebentätigkeit",,Mitarbeitervertretung,nein,nein,nein,"[' Personalabbau', ' Arbeitsverdichtung', ' anderes Patientenklientel']",nein,[' trifft für mich nicht zu / keine Veränderungen'],[' Newsletter des Fachausschuss für Angestellte'],[' Newsletter des Fachausschuss für Angestellte'],2.0,,,,5,4,5,3,4,,
79,nein,30 - 39 Jahre,3 - 6 Jahre,weiblich,Hessen,Berufsfachschule,MS/ETZ/Sonder,ich keine Vollzeitstelle bekommen habe,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie', ' Prävention und GSF', ' Sonstiger']",25,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,nein,nein,gesamtes Gehalt gekoppelt an geleistete Therapieeinheiten,"nein, frei verhandelt","1000,-  –  1249,- €",nein,ja,,der Heilmittel-Richtlinie,30 %,"[' Praktikumsanleitung', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",3.0,als Ergotherapeut,ja,nein,nein,nein,nein,"[' Personalabbau', ' Arbeitsverdichtung']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",15.0,2.0,,,5,5,9,6,8,,
80,ja,30 - 39 Jahre,11 - 20 Jahre,weiblich,Bayern,Berufsfachschule,Vollzeit,,nein,nein,Abteilungs-/ Teamleitung (Institution),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Reha-Klinik,"[' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie', ' Prävention und GSF']",27,[' samstags'],Nein,Ausgleich über Bezahlung,ja,ja,ja,teilweise,nein,gesamtes Gehalt gekoppelt an geleistete Therapieeinheiten,"nein, frei verhandelt","2500,-  –  2749,- €",nein,ja,,der Heilmittel-Richtlinie,5 %,"[' Vor- und Nachbereit', ' Dokumentation/Berichte schreiben', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.']",2.0,als Ergotherapeut,ja,nein,nein,ja,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],[' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)'],[' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 18:00-20:00 Uhr)'],5.0,2.0,,,5,6,5,7,9,2.0,
81,nein,30 - 39 Jahre,3 - 6 Jahre,offen,Baden-Württemberg,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Orthopädie/Traumatologie/Rheumatologie']",40,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,teilweise,nein,gesamtes Gehalt gekoppelt an geleistete Therapieeinheiten,angelehnt an einen Tarif,"2500,-  –  2749,- €",nein,ja,,der Heilmittel-Richtlinie,25 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' anderes Patientenklientel'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],5.0,,,,5,5,6,5,7,,
82,nein,40 - 49 Jahre,11 - 20 Jahre,weiblich,Nordrhein-Westfalen,Bachelor / Diplom,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,ja,trifft für mich nicht zu,,,Kindergarten/ Schule,[' Pädiatrie'],22,[' trifft nicht zu'],,kein Ausgleich,ja,ja,ja,ja,nein,Festgehalt,TVöD,"1500,-  –  1749,- €",ja,nein,,der Heilmittel-Richtlinie,25 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],[' Broschüre Stellenbeschreibung'],[' Broschüre Stellenbeschreibung'],2.0,1.0,,,8,6,7,7,1,,
83,ja,20 - 29 Jahre,3 - 6 Jahre,weiblich,Baden-Württemberg,Bachelor / Diplom,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Pädiatrie']",39,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,ja,ja,ja,Festgehalt,"nein, frei verhandelt","3000,-  –  3249,- €",ja,nein,,der Heilmittel-Richtlinie,15 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']","[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],2.0,3.0,,,7,8,9,8,8,,
84,ja,40 - 49 Jahre,11 - 20 Jahre,weiblich,Nordrhein-Westfalen,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Psychiatrie/Sucht/Forensik', ' Sonstiger']",40,"[' samstags', ' feiertags']",Nein,nicht geregelt,ja,nein,,,nein,Festgehalt,"nein, frei verhandelt","2750,-  –  2999,- €",nein,nein,trifft für mich nicht zu,der Heilmittel-Richtlinie,10 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,"[' Personalabbau', ' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)', ' berufsfremde Tätigkeiten']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Broschüre Arbeitsrecht', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte']","[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle']",,,,,9,10,9,5,8,,
85,nein,30 - 39 Jahre,bis 2 Jahre,weiblich,Hessen,Bachelor / Diplom,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,Abteilungs-/ Teamleitung (Institution),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Wohn-/ Pflegeeinrichtung,"[' Geriatrie', ' Neurologie']",17,[' trifft nicht zu'],,Ausgleich über Freizeit,nein,ja,ja,nein,nein,Festgehalt,TVöD,"1500,-  –  1749,- €",nein,nein,trifft für mich nicht zu,"keine Vorgaben, individuell frei gestaltbar",5 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Mitarbeitervertretung,nein,nein,nein,"[' Personalabbau', ' berufsfremde Tätigkeiten']",nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],2.0,2.0,,,3,8,2,2,8,15.0,
86,ja,40 - 49 Jahre,11 - 20 Jahre,weiblich,Hessen,Bachelor / Diplom,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Reha-Klinik,[' Neurologie'],39,"[' samstags', ' feiertags']",JA,wahlweise Freizeit/Bezahlung,nein,ja,ja,teilweise,nein,Festgehalt,angelehnt an einen Tarif,"über 3500,-€",ja,nein,,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),15 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,ja,[' Arbeitsverdichtung'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",5.0,5.0,30.0,60.0,8,8,9,8,10,,
87,nein,30 - 39 Jahre,11 - 20 Jahre,weiblich,Brandenburg,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Reha-Klinik,"[' Orthopädie/Traumatologie/Rheumatologie', ' Psychiatrie/Sucht/Forensik', ' Sonstiger']",32,[' feiertags'],JA,Ausgleich über Freizeit,nein,nein,,,nein,Festgehalt,"nein, frei verhandelt","2250,-  –  2499,- €",ja,nein,,der Heilmittel-Richtlinie,10 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,ja,ja,"[' Arbeitsverdichtung', ' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)']",nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],[' Broschüre Stellenbeschreibung'],,,,,4,4,4,7,1,,
